welle;gesamt_hp;sprung_ggue_vorwelle;bosswelle;laune
1;240;;;
2;347;1.45;;
3;495;1.42;;
4;758;1.53;;
5;966;1.27;;Sturm
6;1432;1.48;;Erzhaut
7;2073;1.45;;
8;3320;1.60;ja;Brut
9;3715;1.12;;Hetze
10;4672;1.26;;
11;5862;1.25;;
12;8154;1.39;;
13;10794;1.32;;
14;14150;1.31;;Hetze
15;16973;1.20;;
16;25594;1.51;ja;Erzhaut
17;27268;1.07;;
18;32425;1.19;;Sturm
19;38395;1.18;;
20;50258;1.31;;
21;65327;1.30;;Brut
22;73005;1.12;;
23;89502;1.23;;Sturm
24;135309;1.51;ja;Koloss
25;122866;0.91;;
26;147418;1.20;;Brut
27;161829;1.10;;
28;182874;1.13;;
29;204658;1.12;;
30;232526;1.14;;
31;249727;1.07;;
32;322999;1.29;ja;Hetze
33;296128;0.92;;
34;326882;1.10;;Reiche Ernte
35;358724;1.10;;
36;376042;1.05;;
37;393157;1.05;;
38;435817;1.11;;
39;462818;1.06;;
40;517037;1.12;ja;Brut
